id,home_team_country,away_team_country,winner,home_team_goals,home_team_penalties,away_team_goals,away_team_penalties,home_team_attempts_on_goal,home_team_on_target,home_team_corners,home_team_offsides,home_team_num_passes,home_team_passes_completed,home_team_tackles,home_team_goal_kicks,home_team_throw_ins,home_team_yellow_cards,home_team_red_cards,home_team_fouls_committed,away_team_attempts_on_goal,away_team_on_target,away_team_corners,away_team_offsides,away_team_num_passes,away_team_passes_completed,away_team_tackles,away_team_goal_kicks,away_team_throw_ins,away_team_yellow_cards,away_team_red_cards,away_team_fouls_committed
1,QAT,ECU,Ecuador,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,
2,ENG,IRN,England,6,0,2,0,13,7,8,2,809,730,5,5,18,0,0,12,8,3,0,2,224,154,2,5,18,2,0,9
3,SEN,NED,Netherlands,0,0,2,0,14,3,6,2,383,313,6,6,17,2,0,13,9,3,7,1,438,374,0,10,28,1,0,13
4,USA,WAL,Draw,1,0,1,0,6,1,5,1,569,509,4,5,22,4,0,9,7,3,3,1,409,321,3,10,25,2,0,14
5,ARG,KSA,Saudi Arabia,1,0,2,0,14,6,9,10,610,529,7,3,24,0,0,21,3,2,2,1,267,190,1,9,13,6,0,6
6,DEN,TUN,Draw,0,0,0,0,11,4,11,1,594,523,7,6,24,2,0,9,11,1,9,1,387,302,3,7,24,1,0,9
7,MEX,POL,Draw,0,0,0,0,13,4,6,3,485,422,7,7,21,2,0,15,8,1,5,0,322,241,2,9,23,1,0,13
8,FRA,AUS,France,4,0,1,0,22,7,8,0,734,672,3,8,17,0,0,11,4,1,1,0,466,399,4,10,21,3,0,5
9,MAR,CRO,Draw,0,0,0,0,8,2,0,0,360,290,2,5,22,1,0,11,6,2,5,1,667,592,4,5,26,0,0,15
10,GER,JPN,Japan,1,0,2,0,25,8,6,4,827,753,4,8,33,0,0,12,11,3,6,4,279,214,2,10,13,0,0,6
11,ESP,CRC,Spain,7,0,0,0,17,7,5,3,1056,994,0,0,24,0,0,11,0,0,0,7,231,166,0,10,13,2,0,7
12,BEL,CAN,Belgium,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,SUI,CMR,Switzerland,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,URU,KOR,Draw,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,POR,GHA,Portugal,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,
16,BRA,SRB,Brazil,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,WAL,IRN,Iran,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,
18,QAT,SEN,Senegal,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,
19,NED,ECU,Draw,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
20,ENG,USA,Draw,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
21,TUN,AUS,Australia,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
22,POL,KSA,Poland,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
23,FRA,DEN,France,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
24,ARG,MEX,Argentina,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
25,JPN,CRC,Costa Rica,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
26,BEL,MAR,Morocco,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,
27,CRO,CAN,Croatia,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
28,ESP,GER,Draw,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
29,CMR,SRB,Draw,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,
30,KOR,GHA,Ghana,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,
31,BRA,SUI,Brazil,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
32,POR,URU,Portugal,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
34,ECU,SEN,Senegal,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,
33,NED,QAT,Netherlands,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
35,WAL,ENG,England,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,
36,IRN,USA,United States,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
38,TUN,FRA,Tunisia,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
37,AUS,DEN,Australia,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
